dataset,rerank,sledge,model,timestamp,total,successes,success_rate,median_time_all_s,median_time_success_s,avg_depth,source_path
nat,on,on,litellm_openai_gpt-5.4-mini,20260526-161424,9,4,44.4,22.89,17.21,1.0,datasets/results/20260526-161424-nat-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
sets,off,off,litellm_openai_gpt-5.4-mini,20260526-003500,8,8,100.0,5.27,5.27,1.0,datasets/results/20260526-003500-sets-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
sets,off,off,litellm_openai_gpt-5.4-mini,20260526-163518,8,8,100.0,5.27,5.27,1.0,datasets/results/20260526-163518-sets-rerank_off__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
sets,on,off,litellm_openai_gpt-5.4-mini,20260526-003549,8,8,100.0,5.66,5.66,1.0,datasets/results/20260526-003549-sets-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
sets,on,off,litellm_openai_gpt-5.4-mini,20260526-163603,8,8,100.0,4.6,4.6,1.0,datasets/results/20260526-163603-sets-rerank_on__sledge_off__model_litellm_openai_gpt-5.4-mini.csv
sets,off,on,litellm_openai_gpt-5.4-mini,20260526-003702,8,8,100.0,7.37,7.37,1.0,datasets/results/20260526-003702-sets-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
sets,off,on,litellm_openai_gpt-5.4-mini,20260526-163719,8,8,100.0,7.39,7.39,1.0,datasets/results/20260526-163719-sets-rerank_off__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
sets,on,on,litellm_openai_gpt-5.4-mini,20260526-003801,8,8,100.0,6.38,6.38,1.0,datasets/results/20260526-003801-sets-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
sets,on,on,litellm_openai_gpt-5.4-mini,20260526-163829,8,8,100.0,7.37,7.37,1.0,datasets/results/20260526-163829-sets-rerank_on__sledge_on__model_litellm_openai_gpt-5.4-mini.csv
lists,off,off,litellm_openai_gpt-5.5,20260518-193143,18,17,94.4,10.63,10.57,1.06,archives/20260524_000931/prover_results_old/20260518-193143-lists-rerank_off__sledge_off__model_litellm_openai_gpt-5.5.csv
lists,on,off,litellm_openai_gpt-5.5,20260518-193737,18,17,94.4,10.55,10.54,1.11,archives/20260524_000931/prover_results_old/20260518-193737-lists-rerank_on__sledge_off__model_litellm_openai_gpt-5.5.csv
lists,off,on,litellm_openai_gpt-5.5,20260518-201320,18,17,94.4,12.62,12.61,1.06,archives/20260524_000931/prover_results_old/20260518-201320-lists-rerank_off__sledge_on__model_litellm_openai_gpt-5.5.csv
lists,on,on,litellm_openai_gpt-5.5,20260518-201851,18,17,94.4,12.43,12.33,1.06,archives/20260524_000931/prover_results_old/20260518-201851-lists-rerank_on__sledge_on__model_litellm_openai_gpt-5.5.csv
logic,off,off,litellm_openai_gpt-5.5,20260518-190130,5,5,100.0,12.86,12.86,1.0,archives/20260524_000931/prover_results_old/20260518-190130-logic-rerank_off__sledge_off__model_litellm_openai_gpt-5.5.csv
logic,on,off,litellm_openai_gpt-5.5,20260518-190223,5,5,100.0,9.83,9.83,1.0,archives/20260524_000931/prover_results_old/20260518-190223-logic-rerank_on__sledge_off__model_litellm_openai_gpt-5.5.csv
logic,off,on,litellm_openai_gpt-5.5,20260518-194958,5,5,100.0,12.94,12.94,1.0,archives/20260524_000931/prover_results_old/20260518-194958-logic-rerank_off__sledge_on__model_litellm_openai_gpt-5.5.csv
logic,on,on,litellm_openai_gpt-5.5,20260518-195104,5,5,100.0,12.85,12.85,1.0,archives/20260524_000931/prover_results_old/20260518-195104-logic-rerank_on__sledge_on__model_litellm_openai_gpt-5.5.csv
nat,off,off,litellm_openai_gpt-5.5,20260518-191021,9,3,33.3,40.63,15.32,1.11,archives/20260524_000931/prover_results_old/20260518-191021-nat-rerank_off__sledge_off__model_litellm_openai_gpt-5.5.csv
nat,on,off,litellm_openai_gpt-5.5,20260518-192610,9,4,44.4,30.26,38.77,1.22,archives/20260524_000931/prover_results_old/20260518-192610-nat-rerank_on__sledge_off__model_litellm_openai_gpt-5.5.csv
nat,off,on,litellm_openai_gpt-5.5,20260518-195847,9,4,44.4,51.92,23.98,1.0,archives/20260524_000931/prover_results_old/20260518-195847-nat-rerank_off__sledge_on__model_litellm_openai_gpt-5.5.csv
nat,on,on,litellm_openai_gpt-5.5,20260518-200350,9,4,44.4,40.9,23.04,1.0,archives/20260524_000931/prover_results_old/20260518-200350-nat-rerank_on__sledge_on__model_litellm_openai_gpt-5.5.csv
sets,off,off,litellm_openai_gpt-5.5,20260518-202435,8,8,100.0,12.02,12.02,1.0,archives/20260524_000931/prover_results_old/20260518-202435-sets-rerank_off__sledge_off__model_litellm_openai_gpt-5.5.csv
sets,on,off,litellm_openai_gpt-5.5,20260518-202611,8,8,100.0,10.12,10.12,1.0,archives/20260524_000931/prover_results_old/20260518-202611-sets-rerank_on__sledge_off__model_litellm_openai_gpt-5.5.csv
sets,off,on,litellm_openai_gpt-5.5,20260518-202858,8,8,100.0,12.72,12.72,1.0,archives/20260524_000931/prover_results_old/20260518-202858-sets-rerank_off__sledge_on__model_litellm_openai_gpt-5.5.csv
sets,on,on,litellm_openai_gpt-5.5,20260518-203041,8,8,100.0,12.68,12.68,1.0,archives/20260524_000931/prover_results_old/20260518-203041-sets-rerank_on__sledge_on__model_litellm_openai_gpt-5.5.csv
hol_main_easy_goals_test,off,on,qwen3-coder_30b,20260518-115651,100,96,96.0,6.35,6.34,1.0,archives/20260524_000931/prover_results_old/20260518-115651-hol_main_easy_goals_test-rerank_off__sledge_on__model_qwen3-coder_30b.csv
lists,off,on,qwen3-coder_30b,20260518-112455,18,17,94.4,6.31,6.31,1.06,archives/20260524_000931/prover_results_old/20260518-112455-lists-rerank_off__sledge_on__model_qwen3-coder_30b.csv
lists,on,on,qwen3-coder_30b,20260518-112758,18,17,94.4,6.32,6.32,1.06,archives/20260524_000931/prover_results_old/20260518-112758-lists-rerank_on__sledge_on__model_qwen3-coder_30b.csv
logic,off,on,qwen3-coder_30b,20260518-110322,5,5,100.0,6.31,6.31,1.0,archives/20260524_000931/prover_results_old/20260518-110322-logic-rerank_off__sledge_on__model_qwen3-coder_30b.csv
logic,on,on,qwen3-coder_30b,20260518-110356,5,5,100.0,6.32,6.32,1.0,archives/20260524_000931/prover_results_old/20260518-110356-logic-rerank_on__sledge_on__model_qwen3-coder_30b.csv
nat,off,on,qwen3-coder_30b,20260518-111752,9,4,44.4,30.4,16.01,1.0,archives/20260524_000931/prover_results_old/20260518-111752-nat-rerank_off__sledge_on__model_qwen3-coder_30b.csv
nat,on,on,qwen3-coder_30b,20260518-112133,9,4,44.4,30.45,16.47,1.0,archives/20260524_000931/prover_results_old/20260518-112133-nat-rerank_on__sledge_on__model_qwen3-coder_30b.csv
sets,off,on,qwen3-coder_30b,20260518-113118,8,8,100.0,6.53,6.53,1.0,archives/20260524_000931/prover_results_old/20260518-113118-sets-rerank_off__sledge_on__model_qwen3-coder_30b.csv
sets,on,on,qwen3-coder_30b,20260518-113218,8,8,100.0,6.97,6.97,1.0,archives/20260524_000931/prover_results_old/20260518-113218-sets-rerank_on__sledge_on__model_qwen3-coder_30b.csv
